N.,Genre,Name,Language,Country,Streaming HTTP,ERROR,Video codec,Width,Height,Frame rate,Audio codec,Sample rate,Audio ch.
168,,Telegranda,Italian,IT,http://live.sloode.com:1935/telegranda_live/C2AD-0664-DC75-4744/playlist.m3u8,,h264,720,576,25,aac,44100,2
169,,Teleiblea,Italian,IT,https://ad.mysisli.com/live/teleiblea1/tracks-v1a1/mono.m3u8,Server returned 5XX Server Error reply,NULL,0,0,0,NULL,0,0
170,,Telemantova,Italian,IT,https://58f0c4d9527e8.streamlock.net/TeleMantova/livestream/playlist.m3u8,,h264,854,480,25,mp3,44100,2
171,,TeleMia,Italian,IT,http://wms.shared.streamshow.it:80/telemia/telemia/playlist.m3u8,,h264,854,480,50,aac,48000,2
172,,Telemolise,Italian,IT,http://185.202.128.1:1935/TelemoliseStream/telemoliseTV.stream_tlm/playlist.m3u8?fluxustv.m3u8,,h264,720,406,25,aac,44100,2
173,,TeleMonteve,Italian,IT,http://wms.shared.streamshow.it/telemonteneve/telemonteneve/playlist.m3u8,,h264,854,480,25,aac,48000,2
174,,TeleNordest,Italian,IT,http://wms.shared.streamshow.it/telenord/telenord/chunklist_w299272332.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
175,,TeleNordest,Italian,IT,https://59d7d6f47d7fc.streamlock.net/telenord/telenord/playlist.m3u8,,h264,854,480,50,aac,48000,2
176,,Teleonda,Italian,IT,https://59bb40cf810aa.streamlock.net:4443/teleonda/teleonda/playlist.m3u8?fluxustv.m3u8,,h264,640,360,25,aac,44100,2
177,,TeleQuattro,Italian,IT,http://wms.shared.streamshow.it/telequattro/telequattro/chunklist_w352656972.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
178,,TeleRama,Italian,IT,https://58d921499d3d3.streamlock.net/TeleRama/livestream/playlist.m3u8?fluxustv.m3u8,,h264,640,512,25,aac,44100,2
179,,Teleromagna,Italian,IT,http://livetr.teleromagna.it/sport/live/playlist.m3u8,Server returned 403 Forbidden (access denied),NULL,0,0,0,NULL,0,0
180,,Teleromagna,Italian,IT,http://livetr.teleromagna.it/teleromagna/live/playlist.m3u8,Server returned 403 Forbidden (access denied),NULL,0,0,0,NULL,0,0
181,,Telesud Trapani,Italian,IT,https://5cbd3bc28341f.streamlock.net:444/telesud/_definst_/live/playlist.m3u8,,h264,1280,720,25,aac,48000,2
182,,TeleTerni,Italian,IT,https://diretta.teleterni.it/live/stream_src.m3u8?fluxustv.m3u8,,h264,1024,576,30,aac,44100,2
183,,Teletricolore,Italian,IT,https://59d7d6f47d7fc.streamlock.net/rs2/rs2/playlist.m3u8?fluxustv.m3u8,,h264,854,480,25,aac,48000,2
184,,Teletruria,Italian,IT,http://player002.teletruria.it/hls/stream001.m3u8,I/O error,NULL,0,0,0,NULL,0,0
185,,TeleTusciaSabina 2000,Italian,IT,http://ts2000tv.streaming.nextware.it:8081/ts2000tv/ts2000tv/playlist.m3u8?fluxustv.m3u8,,h264,540,432,25,aac,44100,2
186,,Teleuniverso,Italian,IT,https://5bc744e9aac0b.streamlock.net/teleuniverso/teleuniverso/chunklist_w1494799728.m3u8,,h264,1280,720,25,aac,48000,2
187,,TeleVideo Agrigento,Italian,IT,https://59d7d6f47d7fc.streamlock.net/tva/tva/chunklist_w2057719642.m3u8?fluxustv.m3u8,,h264,858,480,25,aac,48000,2
188,,Televomero,Italian,IT,http://1se2.troydesign.eu:80/televomero/channel1_televomero/playlist.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
189,,Tevere TV,Italian,IT,https://5926fc9c7c5b2.streamlock.net/9098/9098/playlist.m3u8?fluxustv.m3u8,,h264,1280,720,25,mp3,44100,1
190,News,TG Norba24,Italian,IT,http://37.48.83.34:80/tgnorba_24/tgnorba_24_source.stream/playlist.m3u8,Unknown error,NULL,0,0,0,NULL,0,0
191,,TLN Tele Lazio Nord,Italian,IT,http://tln.srfms.com:1935/TLN/livestream/playlist.m3u8,,h264,1280,720,25,aac,48000,2
192,,TR Mia,Italian,IT,http://livetr.teleromagna.it/news/live/playlist.m3u8,Server returned 403 Forbidden (access denied),NULL,0,0,0,NULL,0,0
193,News,TR24,Italian,IT,http://livetr.teleromagna.it/mia/live/playlist.m3u8,Server returned 403 Forbidden (access denied),NULL,0,0,0,NULL,0,0
194,,Trentino TV,Italian,IT,http://77.72.196.214:8554/live/TrentinoTV/livestream.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
195,,TRG Umbria,Italian,IT,http://streaming126.trgmedia.it/filestream/livestreamHD.m3u8?fluxustv.m3u8,,h264,720,404,25,aac,44100,1
196,,TSD TV Arezzo,Italian,IT,http://dcunilive20-lh.akamaihd.net/i/dclive_1@195975/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
197,,TSN Livigno,Italian,IT,http://wms.shared.streamshow.it/tsn2/tsn2/playlist.m3u8,,h264,1280,720,25,aac,48000,2
198,,TSN Tele Sondrio News,Italian,IT,http://wms.shared.streamshow.it/tsn/tsn_mobile/playlist.m3u8,,h264,854,480,25,aac,48000,2
199,,TV Campane 1 (Napoli),Italian,IT,http://tvcampane1.srfms.com:1935/tvcampane1/livestream/playlist.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
200,,Tv Luna,Italian,IT,http://live.sloode.com:1935/teleluna/live/playlist.m3u8,,h264,352,288,25,aac,44100,2
201,,TV Qui (Modena),Italian,IT,https://59d7d6f47d7fc.streamlock.net/tvqui/tvqui/playlist.m3u8?fluxustv.m3u8,,h264,854,480,50,aac,48000,2
202,,TV2000,Italian,IT,http://cld01ibi16.wz.tv2000.it/tv2000_alfa.m3u8,,h264,960,540,25,aac,44100,2
203,,TV2000,Italian,IT,http://mi1.wz.tv2000.it/tv2000_alfa.m3u8,,h264,960,540,25,aac,44100,2
204,,TV2000,Italian,IT,http://mi1.wz.tv2000.it:80/tv2000_alfa.m3u8,,h264,960,540,25,aac,44100,2
205,,TV7 Benevento,Italian,IT,http://streaming.senecadot.com/live/flv:tv7.sdp/playlist.m3u8?fluxustv.m3u8,,h264,352,288,25,mp3,44100,1
206,,TV7 Triveneta,Italian,IT,http://217.61.26.46:8080/hls/triveneta.m3u8?fluxustv.m3u8,,h264,480,270,25,aac,48000,2
207,,TVA (Vicenza),Italian,IT,http://fms.tvavicenza.it:1935/live/diretta_1/playlist.m3u8,,h264,720,404,25,aac,22050,2
208,,TVL Toscana,Italian,IT,https://dcunilive36-lh.akamaihd.net/i/dclive_1@661035/master.m3u8,,h264,640,360,25,aac,48000,2
209,,TVR Xenon (Caltagirone),Italian,IT,http://player.adobemediaserver.it/speedweb-hls-live/livepkgr/_definst_/liveevent/livestream.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
210,,TVR Xenon (Caltagirone),Italian,IT,http://player.adobemediaserver.it/speedweb-hls-live/livepkgr/_definst_/liveevent/livestream.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
211,,TVRS,Italian,IT,http://wms.shared.streamshow.it:1935/tvrs/tvrs/live.m3u8,,h264,854,480,25,aac,48000,2
212,,Vera TV (Marche),Italian,IT,http://wms.shared.streamshow.it/veratv/veratv/playlist.m3u8,,h264,854,480,25,aac,48000,1
213,,Vera TV Marche,Italian,IT,http://wms.shared.streamshow.it:1935/veratv/veratv/playlist.m3u8?fluxustv.m3u8,,h264,854,480,25,aac,48000,1
214,,VH1,Italian,IT,https://content.uplynk.com/channel/36953f5b6546464590d2fcd954bc89cf.m3u8?fluxustv.m3u8,,h264,640,360,90,aac,48000,2
215,,Video Calabria,Italian,IT,http://wms.shared.streamshow.it:80/videocalabria/videocalabria/playlist.m3u8,,h264,854,480,25,aac,48000,2
216,,Video Mediterraneo,Italian,IT,http://streaming.ermeslink.com:88/hlsme/vmstream.m3u8,,h264,1280,720,25,aac,44100,2
217,,Videolina (Sardegna),Italian,IT,http://livestreaming.videolina.it/live/Videolina/chunklist_w523418370.m3u8,,h264,720,404,25,aac,44100,2
218,,Videolina (Sardegna),Italian,IT,http://livestreaming.videolina.it/live/Videolina/playlist.m3u8?fluxustv.m3u8,,h264,720,404,25,aac,44100,2
219,,Videostar TV (Lombardia),Italian,IT,http://dreamsiteradiocpvideo.com:1935/vds/vds/playlist.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
220,,WLTV Siracusa,Italian,IT,https://dcunilive28-lh.akamaihd.net/i/dclive_1@531020/master.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
221,Music,Zerouno TV,Italian,IT,https://dcunilive55-lh.akamaihd.net/i/dclive_1@761470/master.m3u8?fluxustv.m3u8,Server returned 404 Not Found,NULL,0,0,0,NULL,0,0
